IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.222.154.230,443,443,true,SIN,Asia Pacific,SG,Singapore,199,3.48
8.219.188.206,443,443,true,SIN,Asia Pacific,SG,Singapore,319,3.46
8.219.192.192,443,443,true,SIN,Asia Pacific,SG,Singapore,52,3.45
8.219.125.156,443,443,true,SIN,Asia Pacific,SG,Singapore,237,3.41
8.222.195.67,443,443,true,SIN,Asia Pacific,SG,Singapore,206,3.35
8.222.206.130,443,443,true,SIN,Asia Pacific,SG,Singapore,274,3.28
8.222.182.111,443,443,true,SIN,Asia Pacific,SG,Singapore,214,3.25
8.219.69.96,443,443,true,SIN,Asia Pacific,SG,Singapore,285,3.11
47.254.171.15,8443,443,true,FRA,Europe,DE,Frankfurt,188,3.07
8.219.73.67,443,443,true,SIN,Asia Pacific,SG,Singapore,225,3.07
8.219.69.198,443,443,true,SIN,Asia Pacific,SG,Singapore,271,3.06
8.222.163.39,443,443,true,SIN,Asia Pacific,SG,Singapore,263,3.04
8.222.133.18,443,443,true,SIN,Asia Pacific,SG,Singapore,223,3.03
8.222.209.72,443,443,true,SIN,Asia Pacific,SG,Singapore,205,3.00
8.219.222.2,443,443,true,SIN,Asia Pacific,SG,Singapore,299,2.99
8.219.244.169,443,443,true,SIN,Asia Pacific,SG,Singapore,222,2.99
8.219.100.122,443,443,true,SIN,Asia Pacific,SG,Singapore,279,2.90
8.219.71.129,443,443,true,SIN,Asia Pacific,SG,Singapore,229,2.83
8.222.174.194,443,443,true,SIN,Asia Pacific,SG,Singapore,280,2.82
8.222.181.102,443,443,true,SIN,Asia Pacific,SG,Singapore,115,2.78
8.222.193.86,443,443,true,SIN,Asia Pacific,SG,Singapore,203,2.70
8.219.211.19,443,443,true,SIN,Asia Pacific,SG,Singapore,300,2.70
8.222.196.165,443,443,true,SIN,Asia Pacific,SG,Singapore,238,2.69
8.222.220.244,443,443,true,SIN,Asia Pacific,SG,Singapore,214,2.68
8.219.129.255,443,443,true,SIN,Asia Pacific,SG,Singapore,226,2.65
8.222.149.222,443,443,true,SIN,Asia Pacific,SG,Singapore,231,2.61
8.219.194.158,443,443,true,SIN,Asia Pacific,SG,Singapore,256,2.61
8.219.244.169,443,443,true,SIN,Asia Pacific,SG,Singapore,207,2.55
47.90.141.204,443,443,true,LAX,North America,US,Los Angeles,331,2.54
8.222.235.17,443,443,true,SIN,Asia Pacific,SG,Singapore,147,2.49
8.219.146.144,443,443,true,SIN,Asia Pacific,SG,Singapore,301,2.48
8.222.215.184,443,443,true,SIN,Asia Pacific,SG,Singapore,220,2.44
8.219.135.238,443,443,true,SIN,Asia Pacific,SG,Singapore,327,2.39
8.219.209.115,443,443,true,SIN,Asia Pacific,SG,Singapore,215,2.30
8.219.149.76,443,443,true,SIN,Asia Pacific,SG,Singapore,218,2.21
8.222.215.184,443,443,true,SIN,Asia Pacific,SG,Singapore,219,2.19
8.219.233.50,443,443,true,SIN,Asia Pacific,SG,Singapore,250,2.14
47.76.218.163,443,443,true,HKG,Asia Pacific,HK,Hong Kong,214,2.11
8.219.123.239,443,443,true,SIN,Asia Pacific,SG,Singapore,290,2.07
