IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
193.122.105.54,443,443,true,LAX,North America,US,Los Angeles,357,10.09
144.24.165.48,443,443,true,FRA,Europe,DE,Frankfurt,336,10.06
144.24.186.245,443,443,true,FRA,Europe,DE,Frankfurt,415,9.99
158.101.222.149,443,443,true,FRA,Europe,DE,Frankfurt,334,9.95
129.159.244.139,443,443,true,FRA,Europe,DE,Frankfurt,213,9.90
192.9.154.127,443,443,true,SJC,North America,US,San Jose,299,9.89
141.147.163.68,443,443,true,NRT,Asia Pacific,JP,Tokyo,245,9.85
138.2.227.164,443,443,true,SJC,North America,US,San Jose,307,9.84
141.144.244.75,443,443,true,FRA,Europe,DE,Frankfurt,227,9.80
141.144.206.17,443,443,true,FRA,Europe,DE,Frankfurt,226,9.74
141.147.83.45,443,443,true,FRA,Europe,DE,Frankfurt,293,9.74
158.101.201.31,443,443,true,FRA,Europe,DE,Frankfurt,325,9.73
84.8.152.199,443,443,true,FRA,Europe,DE,Frankfurt,199,9.72
141.148.245.90,443,443,true,FRA,Europe,DE,Frankfurt,236,9.69
129.159.10.251,443,443,true,FRA,Europe,DE,Frankfurt,288,9.68
165.1.79.60,8443,443,true,SJC,North America,US,San Jose,230,9.67
130.162.148.138,443,443,true,ICN,Asia Pacific,KR,Seoul,186,9.61
64.110.64.76,443,443,true,LAX,North America,US,Los Angeles,346,9.60
158.101.213.223,443,443,true,FRA,Europe,DE,Frankfurt,354,9.56
141.147.4.176,443,443,true,FRA,Europe,DE,Frankfurt,357,9.55
141.144.192.97,443,443,true,FRA,Europe,DE,Frankfurt,232,9.50
158.101.219.125,443,443,true,FRA,Europe,DE,Frankfurt,284,9.50
138.3.249.205,443,443,true,FRA,Europe,DE,Frankfurt,369,9.49
192.18.134.22,443,443,true,SJC,North America,US,San Jose,316,9.47
141.148.231.9,443,443,true,FRA,Europe,DE,Frankfurt,306,9.47
130.61.203.115,2053,443,true,FRA,Europe,DE,Frankfurt,233,9.45
64.110.81.110,443,443,true,LAX,North America,US,Los Angeles,349,9.43
89.168.126.57,443,443,true,FRA,Europe,DE,Frankfurt,244,9.41
140.238.6.130,443,443,true,LAX,North America,US,Los Angeles,265,9.39
89.168.73.108,443,443,true,FRA,Europe,DE,Frankfurt,323,9.39
158.101.215.174,443,443,true,FRA,Europe,DE,Frankfurt,338,9.38
158.101.211.165,443,443,true,FRA,Europe,DE,Frankfurt,431,9.38
141.147.3.243,443,443,true,FRA,Europe,DE,Frankfurt,252,9.38
129.159.31.217,443,443,true,FRA,Europe,DE,Frankfurt,226,9.37
138.2.28.17,443,443,true,LAX,North America,US,Los Angeles,387,9.35
138.3.252.48,443,443,true,FRA,Europe,DE,Frankfurt,412,9.33
79.76.101.197,443,443,true,FRA,Europe,DE,Frankfurt,353,9.28
129.159.194.238,443,443,true,FRA,Europe,DE,Frankfurt,285,9.27
141.144.233.165,443,443,true,FRA,Europe,DE,Frankfurt,209,9.25
138.3.254.39,443,443,true,FRA,Europe,DE,Frankfurt,408,9.25
158.101.216.239,443,443,true,FRA,Europe,DE,Frankfurt,221,9.25
64.181.233.163,2087,443,true,SJC,North America,US,San Jose,306,9.23
130.61.203.115,8443,443,true,FRA,Europe,DE,Frankfurt,272,9.23
84.235.171.236,443,443,true,FRA,Europe,DE,Frankfurt,389,9.20
89.168.126.227,443,443,true,FRA,Europe,DE,Frankfurt,208,9.18
64.110.66.155,443,443,true,LAX,North America,US,Los Angeles,296,9.18
158.101.222.91,443,443,true,FRA,Europe,DE,Frankfurt,336,9.14
132.226.228.204,443,443,true,LAX,North America,US,Los Angeles,233,9.14
141.148.230.68,443,443,true,FRA,Europe,DE,Frankfurt,341,9.08
89.168.110.52,443,443,true,FRA,Europe,DE,Frankfurt,268,9.03
129.153.223.37,443,443,true,LAX,North America,US,Los Angeles,209,8.99
150.230.125.122,443,443,true,FRA,Europe,DE,Frankfurt,257,8.94
130.61.23.77,443,443,true,FRA,Europe,DE,Frankfurt,264,8.94
141.144.198.125,443,443,true,FRA,Europe,DE,Frankfurt,354,8.93
141.148.239.47,443,443,true,FRA,Europe,DE,Frankfurt,319,8.93
192.9.137.193,8443,443,true,SJC,North America,US,San Jose,241,8.93
158.101.84.202,443,443,true,SIN,Asia Pacific,SG,Singapore,195,8.85
158.101.215.64,443,443,true,FRA,Europe,DE,Frankfurt,219,8.82
144.24.187.3,443,443,true,FRA,Europe,DE,Frankfurt,387,8.79
150.230.151.188,443,443,true,FRA,Europe,DE,Frankfurt,267,8.76
152.67.141.255,443,443,true,FRA,Europe,DE,Frankfurt,406,8.72
